id,name,faction_id,faction
1058,Ana Racu,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1059,Eugeniu Sinchevici,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1060,Igor Talmazan,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1061,Andrei Spînu,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1062,Victor Spînu,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1063,Olesea Stamate,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1064,Vasile Șoimaru,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1065,Ion Șpac,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1066,Alexandr Trubca,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1067,Rosian Vasiloi,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1068,Larisa Voloh,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1069,Mihail Popșoi,16,"Fracțiunea parlamentară ""Partidul Acțiune și Solidaritate"""
1070,Zinaida Greceanîi,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1071,Elena Beleacova,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1072,Elena Bodnarenco,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1073,Diana Caraman,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1074,Tatiana Cunețchi,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1075,Igor Dodon,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1076,Valeriu Muduc,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1077,Veaceslav Nigai,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1078,Oleg Reidman,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1079,Nicolai Rusol,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1080,Inga Sibova,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1081,Constantin Starîș,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1082,Chiril Tatarlî,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1083,Vladimir Voronin,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1084,Svetlana Căpățină,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
1086,Vlad Bătrîncea,20,Fracțiunea parlamentară a Blocului Comuniștilor și Socialiștilor
